GeoID,BE_JFood_x,BE_Restaurant,BE_doctors,BE_pharmacy,BE_gym,BE_attraction,BE_TreeD,BE_LandMIX,BE_nodeD,BE_JFood_y,BE_HFood,BE_WalkVSDrive,BE_Transit,BE_Park,E_Advance,E_PreS,E_HighS,NE_Tem,NE_Ozone,NE_PM25,SE_Unemploy,SE_Income,SE_Cash,SE_Food,SE_Insurance,SE_Poverty,SE_English,OBESITY
36085000900,0.0,0.0,0.0,0.0,0.0,0.0,4.692668969704034,0.0026967739509433,0.0,6.857142857142857,0.0,0.328955075514315,20.0,16.629547653119225,42.6,14.6,100.0,94.0760231660232,41.6716954248366,8.96891260273973,12.6,50543.0,15.9,29.7,96.2,26.8,8.0,38.0
36061009800,3.0,20.0,0.0,0.0,2.0,0.0,7.496094813524415,0.0053930856330921,0.8227421136794849,133.5,15.8,0.3682578693301776,134.9,54.409662627597335,76.2,100.0,100.0,94.61487309644669,41.6933790849673,9.237539178082192,1.6,129167.0,0.0,0.0,96.4,5.6,1.6,17.3
36061013000,0.0,6.0,0.0,0.0,0.0,2.0,9.06106887279715,0.0,1.4306950851760625,45.0,15.428571428571429,0.3844987527434749,69.07142857142857,449.65175002120776,85.0,0.0,100.0,91.8156281407036,41.77754836601311,9.25880794520548,5.4,196964.0,0.0,2.1,96.7,1.7,1.3,17.2
36061014000,3.0,27.0,0.0,3.0,2.0,0.0,9.22773886719231,0.0,0.4297231335211394,46.92857142857143,20.642857142857142,0.3569344329806485,61.0,356.6466172757517,85.6,83.0,100.0,93.2809090909092,41.7993326797386,9.25001452054794,2.6,137109.0,2.5,3.0,100.0,3.2,1.2,17.6
36061018400,1.0,3.0,0.0,0.0,0.0,0.0,5.903901246385802,0.0096569234899273,2.631583888890979,55.61538461538461,14.76923076923077,0.4019475085027403,68.76923076923077,192.5091416779523,25.7,21.8,100.0,94.76837563451788,41.95965294117649,9.24320602739726,13.3,22738.0,9.6,34.7,96.2,37.3,20.1,31.6
36061019000,2.0,1.0,0.0,1.0,0.0,0.0,7.757884062080303,0.0,0.7017181563706891,54.0,13.75,0.3955813310263292,66.5,201.92773578947327,57.7,94.4,100.0,95.78652173913046,41.9816411764706,9.2494301369863,6.5,58333.0,0.8,10.8,92.4,21.6,7.8,27.5
36061020600,0.0,0.0,0.0,0.0,0.0,0.0,8.806073913561011,0.0057377883440877,0.6251225308997793,35.416666666666664,6.583333333333333,0.4094432386713434,57.25,58.26568772708592,33.3,23.7,100.0,95.33327272727284,42.061352941176494,9.23286547945206,6.0,31625.0,6.0,20.3,93.8,25.3,6.1,32.2
36061024900,0.0,0.0,0.0,0.0,0.0,0.0,7.606327432509248,0.0,4.603829761800946,14.333333333333334,5.833333333333333,0.4089744325354718,24.0,189.1798653334736,35.2,100.0,100.0,93.8715384615385,42.3773248366013,9.258846575342472,4.5,43182.0,12.2,30.9,90.9,21.8,18.4,26.0
36061026900,0.0,0.0,0.0,1.0,0.0,0.0,7.676256010594752,0.0031081572146793,3.503876617445269,3.125,9.6875,0.4117863158346207,20.3125,240.14943063163705,19.8,87.7,100.0,94.836530612245,42.5179235294118,9.24664136986301,10.6,42917.0,6.3,44.9,88.6,19.7,38.7,28.2
36047015100,3.0,10.0,3.0,0.0,2.0,0.0,8.61922555898885,0.0,0.2439403460086791,87.5,14.875,0.3525957194807545,13.875,228.6991210346686,82.0,85.4,100.0,91.28520958083836,41.4321784313725,9.03364356164384,2.2,146458.0,0.0,2.2,96.2,5.6,4.4,18.5
36061027700,0.0,0.0,0.0,0.0,0.0,0.0,7.003628662028695,0.0,2.3510414236465245,4.7,7.7,0.4105897317069211,20.2,228.1832286005313,24.7,0.0,100.0,93.64200000000008,42.5658836601307,9.23100219178082,16.2,28864.0,1.7,38.4,90.1,32.0,40.9,29.5
36047000501,2.0,4.0,0.0,1.0,0.0,0.0,7.972649631416934,0.0,0.7731054188045645,103.83333333333331,13.166666666666666,0.4030433114140416,31.0,100.32565968879886,80.0,100.0,100.0,92.43736842105268,41.4642738562092,9.1484295890411,6.8,133750.0,1.1,10.3,97.6,7.1,5.7,17.4
36047005800,5.0,8.0,0.0,2.0,1.0,0.0,4.606635768905351,0.0,0.6281776048502291,20.0,2.8181818181818183,0.363515138275834,6.727272727272728,142.5528224097353,42.7,44.9,100.0,93.4982857142858,41.543715686274496,8.84839315068493,13.4,64875.0,2.3,10.9,95.8,15.1,17.0,21.8
36047006000,2.0,9.0,1.0,1.0,0.0,0.0,5.155740292737999,0.0,0.4517916751357368,20.444444444444443,2.2222222222222223,0.3314987937991752,6.0,104.71753704112017,44.6,89.0,100.0,92.4285714285715,41.5213588235294,8.86030630136986,1.9,100324.0,4.9,14.0,84.8,9.2,19.0,20.3
36047006900,11.0,13.0,1.0,2.0,1.0,1.0,8.044582262895764,0.0070816876683487,0.4745399649462258,155.5,10.4,0.3878119757867396,49.2,33.374837603092445,87.6,62.6,100.0,94.66462686567166,41.4474522875817,9.116801095890413,4.8,154625.0,0.7,2.5,98.0,4.2,1.9,18.1
36047007400,3.0,3.0,0.0,2.0,0.0,0.0,6.404983181072108,0.0128257812853268,0.3733846697486674,24.125,10.875,0.360729865145371,12.0,56.94436814796852,20.8,63.7,100.0,91.24006369426758,41.4748300653595,8.95304465753425,9.9,33934.0,7.0,32.0,80.6,42.4,46.0,26.8
